snapshot_id,label,as_of,feature_snapshot_hash,category,absolute_gap,share_of_total_gap
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,inflation,0.1214,0.5649
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,unemployment,0.0656,0.3053
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,recession,0.0144,0.067
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,fed,0.0134,0.0624
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,gdp,0.0001,0.0005
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,inflation,0.1268,0.5819
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,unemployment,0.0624,0.2864
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,recession,0.0141,0.0647
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,fed,0.0136,0.0624
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,gdp,0.001,0.0046
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,e7de3a6b9ed24bd83df21066d13258ed4ec38e22b6576f274524a0f10ffe1087,inflation,0.1322,0.6166
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,e7de3a6b9ed24bd83df21066d13258ed4ec38e22b6576f274524a0f10ffe1087,unemployment,0.0589,0.2747
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,e7de3a6b9ed24bd83df21066d13258ed4ec38e22b6576f274524a0f10ffe1087,recession,0.0127,0.0592
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,e7de3a6b9ed24bd83df21066d13258ed4ec38e22b6576f274524a0f10ffe1087,fed,0.0106,0.0494
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,e7de3a6b9ed24bd83df21066d13258ed4ec38e22b6576f274524a0f10ffe1087,gdp,0.0,0.0
2026-03-29-close,2026-03-29 close,2026-03-29T23:55:00Z,c0395554b46544b8655152e6c659af7fcd08fad5267f6fa3d7ac022f7d063045,inflation,0.1351,0.6394
2026-03-29-close,2026-03-29 close,2026-03-29T23:55:00Z,c0395554b46544b8655152e6c659af7fcd08fad5267f6fa3d7ac022f7d063045,unemployment,0.0551,0.2608
2026-03-29-close,2026-03-29 close,2026-03-29T23:55:00Z,c0395554b46544b8655152e6c659af7fcd08fad5267f6fa3d7ac022f7d063045,recession,0.0117,0.0554
2026-03-29-close,2026-03-29 close,2026-03-29T23:55:00Z,c0395554b46544b8655152e6c659af7fcd08fad5267f6fa3d7ac022f7d063045,fed,0.0084,0.0398
2026-03-29-close,2026-03-29 close,2026-03-29T23:55:00Z,c0395554b46544b8655152e6c659af7fcd08fad5267f6fa3d7ac022f7d063045,gdp,0.001,0.0047
2026-03-30-close,2026-03-30 close,2026-03-30T23:55:00Z,dcdb62570301e6a7320b49fe0f140a4ee09e053367c8237f30581c4dfd0c3162,inflation,0.1412,0.6727
2026-03-30-close,2026-03-30 close,2026-03-30T23:55:00Z,dcdb62570301e6a7320b49fe0f140a4ee09e053367c8237f30581c4dfd0c3162,unemployment,0.0498,0.2373
2026-03-30-close,2026-03-30 close,2026-03-30T23:55:00Z,dcdb62570301e6a7320b49fe0f140a4ee09e053367c8237f30581c4dfd0c3162,recession,0.011,0.0524
2026-03-30-close,2026-03-30 close,2026-03-30T23:55:00Z,dcdb62570301e6a7320b49fe0f140a4ee09e053367c8237f30581c4dfd0c3162,fed,0.0079,0.0376
2026-03-30-close,2026-03-30 close,2026-03-30T23:55:00Z,dcdb62570301e6a7320b49fe0f140a4ee09e053367c8237f30581c4dfd0c3162,gdp,0.0,0.0
2026-03-31-close,2026-03-31 close,2026-03-31T23:55:00Z,7b2967e7439431e80c6b00664d341310ffe52568d385c9b505f1bc4c0f212854,inflation,0.1441,0.6982
2026-03-31-close,2026-03-31 close,2026-03-31T23:55:00Z,7b2967e7439431e80c6b00664d341310ffe52568d385c9b505f1bc4c0f212854,unemployment,0.0458,0.2219
2026-03-31-close,2026-03-31 close,2026-03-31T23:55:00Z,7b2967e7439431e80c6b00664d341310ffe52568d385c9b505f1bc4c0f212854,recession,0.01,0.0484
2026-03-31-close,2026-03-31 close,2026-03-31T23:55:00Z,7b2967e7439431e80c6b00664d341310ffe52568d385c9b505f1bc4c0f212854,fed,0.0056,0.0271
2026-03-31-close,2026-03-31 close,2026-03-31T23:55:00Z,7b2967e7439431e80c6b00664d341310ffe52568d385c9b505f1bc4c0f212854,gdp,0.0009,0.0044
