snapshot_id,label,as_of,feature_snapshot_hash,top_market_id,top_market_title,top_share_of_total_gap,top_to_second_ratio,herfindahl_index
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,9866014967371153834929c5ae0000f4b7f5e19ab26d666cf80b79b44b07782d,poly-cpi-jun-2026-over-3,US CPI YoY (Jun 2026) above 3.0%,0.559,1.851,0.4124
2026-03-29-close,2026-03-29 close,2026-03-29T23:55:00Z,c716c9314eb065fbb554d66701b3c1f8af2ba36709930f34d94848314d02303f,poly-cpi-jun-2026-over-3,US CPI YoY (Jun 2026) above 3.0%,0.5957,2.329,0.4303
2026-03-30-close,2026-03-30 close,2026-03-30T23:55:00Z,c2fb2fcfc6c7163031df6b17696ee218e3018367e9cc309f966fe8e5ac8b5a2e,poly-cpi-jun-2026-over-3,US CPI YoY (Jun 2026) above 3.0%,0.6418,2.519,0.4824
2026-03-31-close,2026-03-31 close,2026-03-31T23:55:00Z,7b2967e7439431e80c6b00664d341310ffe52568d385c9b505f1bc4c0f212854,poly-cpi-jun-2026-over-3,US CPI YoY (Jun 2026) above 3.0%,0.6982,3.146,0.5398
